v_ee_x, v_ee_y, v_ee_z
-0.0441148, -0.408033, 0.0284506
-0.0422331, -0.40918, 0.0301789
-0.041002, -0.406991, 0.0310272
-0.0394463, -0.405375, 0.0322401
-0.0377561, -0.40505, 0.0337788
-0.0366657, -0.406893, 0.0354886
-0.0349499, -0.404794, 0.036716
-0.0327174, -0.402375, 0.0380371
-0.0310941, -0.400878, 0.0390716
-0.0305618, -0.401787, 0.040273
-0.0299945, -0.401293, 0.0412215
-0.0290475, -0.400599, 0.0422994
-0.0274045, -0.399751, 0.043594
-0.0268724, -0.398928, 0.044353
-0.0261484, -0.397738, 0.045258
-0.0253772, -0.396961, 0.0461719
-0.0240381, -0.397483, 0.0475544
-0.0227941, -0.396587, 0.0486134
-0.0229393, -0.395879, 0.0490867
-0.0228093, -0.396012, 0.0500172
-0.0219454, -0.396952, 0.0512938
-0.0212232, -0.396744, 0.0523556
-0.0205929, -0.39448, 0.0528296
-0.0196912, -0.393146, 0.0535853
-0.0198226, -0.393601, 0.0543195
-0.0195931, -0.393577, 0.0551893
-0.019421, -0.393627, 0.0560334
-0.0197813, -0.391502, 0.0559695
-0.0187174, -0.389908, 0.0569413
-0.0179269, -0.388596, 0.0576331
-0.0165608, -0.387173, 0.0587612
-0.0158352, -0.388512, 0.0602362
-0.0163676, -0.386892, 0.0600441
-0.0161468, -0.385771, 0.060794
-0.0165492, -0.385075, 0.0610276
-0.0160744, -0.384919, 0.0619413
