T1, T2, T3, T4, T5, T6, T7
6.69207, 11.7341, -3.37792, 5.79864, -0.635961, -0.15766, 0.0586458
6.52944, 11.6262, -3.45983, 5.79332, -0.638061, -0.156362, 0.0587157
6.33727, 11.5624, -3.55694, 5.77203, -0.640211, -0.154749, 0.058793
6.20047, 11.545, -3.62744, 5.74879, -0.641333, -0.153433, 0.0588519
6.14917, 11.625, -3.66262, 5.66081, -0.640045, -0.148401, 0.0588922
5.93729, 11.7354, -3.77559, 5.58775, -0.641524, -0.144874, 0.0589851
5.67978, 11.6763, -3.90119, 5.57925, -0.644724, -0.144147, 0.0590813
5.52754, 11.3816, -3.96398, 5.67702, -0.648154, -0.149206, 0.0591262
5.35507, 11.2825, -4.04643, 5.67684, -0.65019, -0.14864, 0.0591902
5.27404, 11.549, -4.1032, 5.48283, -0.647308, -0.137346, 0.0592413
5.15136, 11.4502, -4.16286, 5.4774, -0.648749, -0.136591, 0.0592781
4.88893, 11.2151, -4.27885, 5.57002, -0.653714, -0.14196, 0.0593573
4.67652, 11.0887, -4.37732, 5.58159, -0.656531, -0.141956, 0.0594241
4.48962, 11.0928, -4.4688, 5.53287, -0.657721, -0.138836, 0.0594923
4.38118, 11.1378, -4.52379, 5.46078, -0.657157, -0.134485, 0.0595344
4.31543, 11.1349, -4.55752, 5.42347, -0.656855, -0.132639, 0.0595566
4.10964, 11.1895, -4.6601, 5.35065, -0.65803, -0.128177, 0.0596231
3.9922, 11.2646, -4.72091, 5.26165, -0.657424, -0.122973, 0.0596638
3.76446, 11.0348, -4.81758, 5.32229, -0.661086, -0.125823, 0.0597205
3.64237, 10.8274, -4.86777, 5.38875, -0.663693, -0.129538, 0.0597426
3.39563, 10.8132, -4.98657, 5.3292, -0.665853, -0.12521, 0.0598155
3.23204, 10.8648, -5.06515, 5.24551, -0.665766, -0.119911, 0.059867
3.10066, 10.6802, -5.11637, 5.28034, -0.667317, -0.121222, 0.0598932
2.99305, 10.443, -5.15638, 5.31982, -0.668926, -0.122232, 0.059903
2.85135, 10.3859, -5.22079, 5.31779, -0.670443, -0.122328, 0.0599335
2.70365, 10.3288, -5.28772, 5.26668, -0.670951, -0.118123, 0.0599666
2.56487, 10.3978, -5.35484, 5.20353, -0.671049, -0.115124, 0.0600042
2.33027, 10.413, -5.46368, 5.13892, -0.672478, -0.110737, 0.0600678
2.14797, 10.3717, -5.54533, 5.10321, -0.673699, -0.108104, 0.0601091
1.98374, 10.2608, -5.6141, 5.09146, -0.674916, -0.106686, 0.060141
1.90373, 10.1995, -5.64667, 5.05968, -0.674658, -0.104174, 0.0601446
1.7264, 10.0125, -5.71978, 5.08285, -0.677081, -0.104527, 0.0601707
1.60294, 9.77393, -5.76356, 5.15305, -0.67939, -0.108143, 0.060178
1.46228, 9.79644, -5.8286, 5.05781, -0.678904, -0.101286, 0.0602048
1.31051, 9.90856, -5.9018, 4.93459, -0.677946, -0.0938247, 0.0602402
1.22268, 9.75105, -5.93157, 4.95159, -0.678603, -0.094064, 0.0602363
1.06329, 9.60461, -5.99544, 4.96508, -0.680356, -0.0941824, 0.0602569
1.01165, 9.59458, -6.01529, 4.914, -0.679194, -0.0910726, 0.060249
0.700537, 9.61464, -6.15712, 4.84911, -0.681888, -0.0865834, 0.0603242
0.64769, 9.56246, -6.1732, 4.81293, -0.680712, -0.0842994, 0.0603144
0.443302, 9.42005, -6.25506, 4.81751, -0.682689, -0.0835911, 0.0603455
0.607466, 9.34581, -6.15969, 4.7471, -0.675899, -0.0780377, 0.0602776
0.738823, 9.19597, -6.06559, 4.70048, -0.668463, -0.0735536, 0.0602291
0.553639, 9.00714, -6.11295, 4.72551, -0.667098, -0.0740332, 0.0602789
0.580118, 8.81092, -6.06206, 4.7444, -0.662229, -0.0742537, 0.0602681
0.540749, 8.53177, -6.03518, 4.80072, -0.658724, -0.076184, 0.0602792
0.819243, 8.46191, -5.8746, 4.73418, -0.64825, -0.0713335, 0.0602061
0.888997, 8.575, -5.8213, 4.57963, -0.639851, -0.0613083, 0.0601974
0.790527, 8.48446, -5.84257, 4.56504, -0.637831, -0.0602001, 0.0602287
0.956845, 8.32811, -5.73705, 4.55795, -0.631416, -0.0588083, 0.0601797
1.00757, 8.19241, -5.68116, 4.53849, -0.625904, -0.0566026, 0.0601738
1.20766, 7.98357, -5.55679, 4.54945, -0.619062, -0.0561489, 0.0601204
1.12279, 7.96158, -5.57539, 4.48886, -0.616037, -0.0517557, 0.0601528
1.12407, 7.93979, -5.55654, 4.42448, -0.611862, -0.0474936, 0.0601573
1.45252, 7.73208, -5.37511, 4.42362, -0.602925, -0.0461209, 0.0600685
1.35211, 7.6144, -5.39654, 4.40164, -0.600864, -0.0436046, 0.060106
1.42224, 7.56922, -5.34585, 4.32835, -0.595478, -0.03807, 0.0600911
