dq1, dq2, dq3, dq4, dq5, dq6, dq7
0.342937, 0.370825, 0.034874, 0.350548, 3.40408e-06, 0.000146808, 8.76905e-06
0.341471, 0.372268, 0.0324115, 0.345177, -6.25598e-05, 0.00048548, 1.05556e-05
0.340561, 0.373061, 0.0299923, 0.348016, 3.63457e-05, -0.000612386, -2.86953e-05
0.339403, 0.373186, 0.028146, 0.350468, -1.5928e-05, 0.00131695, 2.73267e-05
0.337656, 0.372527, 0.0255261, 0.349333, 5.70099e-05, 0.000223204, -7.91185e-06
0.33574, 0.372895, 0.0216089, 0.351873, 3.92011e-06, 6.55494e-05, -1.01758e-05
0.335025, 0.372318, 0.0183381, 0.352638, 3.37713e-05, 0.00058295, 2.16046e-06
0.334995, 0.373597, 0.0166418, 0.351756, -8.1137e-05, 0.000211615, 9.57382e-07
0.334348, 0.374317, 0.0137679, 0.347368, -1.46117e-05, 4.7062e-05, -1.95971e-05
0.332045, 0.373402, 0.00999842, 0.350602, -2.78181e-05, 3.41944e-05, 2.46887e-05
0.330805, 0.371755, 0.0061658, 0.354077, -1.65569e-06, 0.000295451, -2.4111e-06
0.330669, 0.373374, 0.00426722, 0.351172, -5.41304e-05, 5.75099e-05, -2.10898e-05
0.330475, 0.374692, 0.00247157, 0.347483, -3.46587e-05, 6.55274e-05, 2.40273e-05
0.328174, 0.37571, 0.000801607, 0.348497, 5.93812e-05, -8.44084e-05, -1.60437e-05
0.326707, 0.375988, 0.000401934, 0.348313, 7.97107e-05, 0.000443083, -4.39825e-07
0.32547, 0.376091, 0.000118048, 0.348144, -7.38289e-06, -0.000184046, 1.98264e-05
0.323206, 0.376537, -0.000288039, 0.349578, -3.53057e-05, 0.00034556, 2.1161e-06
0.320401, 0.376247, -0.000254438, 0.350713, -3.70078e-05, 9.30664e-05, -1.24139e-05
0.318311, 0.376486, 7.41105e-05, 0.349361, 1.56346e-05, 0.000141348, 1.45203e-05
0.317338, 0.377106, -0.00016069, 0.345452, -1.44343e-05, 3.59333e-05, -2.02566e-05
0.316239, 0.37652, 1.55472e-05, 0.346696, 4.29462e-06, -0.000137565, 4.36301e-06
0.314357, 0.375806, -0.000280079, 0.352213, 1.25747e-05, 0.000372827, 1.93341e-06
0.31275, 0.37573, -0.000451112, 0.349852, 6.96405e-05, 0.000292011, -1.91646e-05
0.310636, 0.376591, -6.37321e-06, 0.347725, -3.32079e-05, 8.93584e-05, 1.15288e-05
0.308985, 0.377733, -0.000309814, 0.344487, -0.000132161, 0.000206438, 3.84818e-05
0.306878, 0.376991, -0.000517683, 0.344367, 3.75174e-05, -0.000188818, -2.29899e-05
0.305498, 0.376969, -0.000202714, 0.346482, 0.000123419, 9.65196e-05, 3.1639e-06
0.304032, 0.375852, -0.000283361, 0.345071, 1.29475e-06, 0.000182909, -5.27983e-06
0.301567, 0.376004, -0.000405854, 0.346167, -7.4166e-05, 3.43412e-05, -9.00941e-06
0.2994, 0.374623, -0.000713731, 0.345765, -2.21942e-05, 0.000142016, 1.60289e-05
0.297019, 0.374852, -0.000443078, 0.343491, -4.18692e-05, 0.000443325, -1.9588e-05
0.294969, 0.37498, -0.000169654, 0.340602, -1.85538e-05, -0.000223982, -2.01046e-06
